Property Address,State,Country,Homeowner Name,Asking Price,Status
1564 Elm Street,Illinois,USA,Emily Garcia,902148,solid
5349 Hillcrest Ave,California,USA,Sarah Miller,808028,foreclosure
4693 Lakeview Drive,Illinois,USA,Robert Davis,569181,pre foreclosure
8255 Riverside Drive,Arizona,USA,Olivia Davis,555637,pre foreclosure
9390 Elm Street,Georgia,USA,Emily Wilson,480943,foreclosure
414 Hillcrest Ave,New York,USA,Daniel Davis,150900,foreclosure
6972 Elm Street,Arizona,USA,David Wilson,371879,solid
2219 Cedar Lane,North Carolina,USA,Laura Smith,595947,foreclosure
2465 Maple Avenue,Ohio,USA,Robert Johnson,746808,foreclosure
7765 Hillcrest Ave,New York,USA,David Martinez,391563,pre foreclosure
9467 Lakeview Drive,Texas,USA,Michael Jones,309191,foreclosure
699 Sunset Road,Texas,USA,Emily Garcia,251230,solid
2084 Lakeview Drive,Nevada,USA,Jessica Martinez,217613,solid
6169 Oak Street,Ohio,USA,Jessica Johnson,673248,pre foreclosure
9376 Elm Street,Illinois,USA,Emily Davis,386115,solid
6647 Oak Street,Texas,USA,Daniel Martinez,838321,solid
615 Hillcrest Ave,New York,USA,Robert Wilson,275508,pre foreclosure
5761 Washington Blvd,Florida,USA,Jessica Wilson,627902,foreclosure
3625 Lakeview Drive,Arizona,USA,Sophia Wilson,88846,foreclosure
1251 Maple Avenue,Florida,USA,Daniel Johnson,479264,pre foreclosure
9882 Cedar Lane,Arizona,USA,Robert Williams,618431,pre foreclosure
8294 Washington Blvd,North Carolina,USA,Emily Johnson,743081,pre foreclosure
4990 Lakeview Drive,Ohio,USA,Daniel Davis,853399,solid
8174 Riverside Drive,New York,USA,Sarah Davis,609001,foreclosure
525 Maple Avenue,Illinois,USA,Robert Wilson,897282,solid
5139 Pine Road,Ohio,USA,James Brown,221341,foreclosure
4851 Elm Street,Georgia,USA,Emily Davis,206064,solid
3343 Elm Street,Ohio,USA,James Johnson,480085,foreclosure
3911 Oak Street,Florida,USA,Robert Jones,821191,pre foreclosure
9303 Pine Road,California,USA,James Davis,185595,pre foreclosure
8671 Cedar Lane,Illinois,USA,David Johnson,891652,solid
4165 Lakeview Drive,California,USA,Daniel Wilson,848723,pre foreclosure
7203 Maple Avenue,Florida,USA,James Williams,438765,foreclosure
2468 Riverside Drive,Georgia,USA,Robert Brown,426872,foreclosure
3064 Pine Road,Ohio,USA,Jessica Williams,791968,solid
2601 Hillcrest Ave,Ohio,USA,Jessica Brown,826854,foreclosure
3691 Maple Avenue,Ohio,USA,Jessica Williams,94608,solid
4749 Pine Road,California,USA,Laura Smith,780894,pre foreclosure
1862 Washington Blvd,Nevada,USA,David Jones,857679,solid
1492 Sunset Road,Illinois,USA,Sophia Wilson,694350,solid
6018 Washington Blvd,Georgia,USA,Sarah Miller,154840,foreclosure
3871 Washington Blvd,California,USA,Michael Jones,639724,foreclosure
5247 Lakeview Drive,New York,USA,Sophia Williams,177795,pre foreclosure
9303 Sunset Road,Nevada,USA,James Smith,315330,solid
673 Riverside Drive,Arizona,USA,Jessica Smith,825922,foreclosure
4624 Hillcrest Ave,Illinois,USA,James Davis,170455,solid
7948 Elm Street,Georgia,USA,Jessica Jones,176487,solid
8459 Hillcrest Ave,New York,USA,John Davis,592307,solid
785 Hillcrest Ave,Florida,USA,Robert Smith,799527,solid
9902 Hillcrest Ave,New York,USA,Sarah Jones,767719,solid
2538 Oak Street,Arizona,USA,James Williams,672683,pre foreclosure
2660 Oak Street,Texas,USA,Sarah Williams,618568,pre foreclosure
2045 Maple Avenue,Illinois,USA,Sophia Martinez,624542,pre foreclosure
6166 Sunset Road,North Carolina,USA,Sophia Martinez,442105,pre foreclosure
1833 Oak Street,Florida,USA,James Williams,203377,solid
6066 Oak Street,Illinois,USA,John Williams,583505,foreclosure
9531 Lakeview Drive,Arizona,USA,Jessica Brown,356103,foreclosure
3716 Cedar Lane,Georgia,USA,Jessica Brown,122166,pre foreclosure
9965 Oak Street,Florida,USA,James Wilson,412445,solid
